region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
1,Tarapacá,1107,Alto Hospicio,Total,1,2021-03-20,2021-03-25,288,244,-44,-15.277777777777779,1
1,Tarapacá,1101,Iquique,Total,1,2021-03-20,2021-03-25,763,755,-8,-1.0484927916120546,1
1,Tarapacá,1405,Pica,Total,1,2021-03-04,2021-03-25,18,25,7,38.888888888888886,1
2,Antofagasta,2104,Taltal,Total,1,2021-03-18,2021-03-25,65,61,-4,-6.153846153846154,1
3,Atacama,3201,Chañaral,Total,1,2021-03-13,2021-03-25,41,27,-14,-34.14634146341463,1
3,Atacama,3304,Huasco,Total,1,2021-03-18,2021-03-25,38,30,-8,-21.052631578947366,1
4,Coquimbo,4102,Coquimbo,Total,1,2021-03-11,2021-03-25,420,407,-13,-3.0952380952380953,1
4,Coquimbo,4101,La Serena,Total,1,2021-03-11,2021-03-25,505,534,29,5.742574257425748,1
4,Coquimbo,4303,Monte Patria,Total,1,2021-03-18,2021-03-25,88,58,-30,-34.09090909090909,1
4,Coquimbo,4204,Salamanca,Total,1,2021-03-11,2021-03-25,69,42,-27,-39.13043478260869,1
4,Coquimbo,4106,Vicuña,Total,1,2021-03-11,2021-03-25,61,60,-1,-1.6393442622950838,1
5,Valparaíso,5702,Catemu,Total,1,2021-03-13,2021-03-25,37,19,-18,-48.64864864864865,1
5,Valparaíso,5103,Concón,Total,1,2021-03-20,2021-03-25,107,95,-12,-11.214953271028039,1
5,Valparaíso,5604,El Quisco,Total,1,2021-03-13,2021-03-25,44,27,-17,-38.63636363636363,1
5,Valparaíso,5506,Nogales,Total,1,2021-03-20,2021-03-25,53,66,13,24.52830188679245,1
5,Valparaíso,5501,Quillota,Total,1,2021-03-13,2021-03-25,228,300,72,31.578947368421062,1
5,Valparaíso,5801,Quilpué,Total,1,2021-03-20,2021-03-25,349,384,35,10.028653295128942,1
5,Valparaíso,5601,San Antonio,Total,1,2021-02-27,2021-03-25,294,166,-128,-43.5374149659864,1
5,Valparaíso,5101,Valparaiso,Total,1,2021-03-11,2021-03-25,631,1105,474,75.1188589540412,1
5,Valparaíso,5804,Villa Alemana,Total,1,2021-03-20,2021-03-25,309,314,5,1.6181229773462702,1
5,Valparaíso,5109,Viña del Mar,Total,1,2021-03-20,2021-03-25,873,913,40,4.58190148911799,1
13,Metropolitana,13402,Buin,Total,1,2021-03-20,2021-03-25,203,189,-14,-6.896551724137934,1
13,Metropolitana,13403,Calera de Tango,Total,1,2021-03-20,2021-03-25,67,59,-8,-11.940298507462687,1
13,Metropolitana,13102,Cerrillos,Total,1,2021-03-18,2021-03-25,174,140,-34,-19.54022988505747,1
13,Metropolitana,13503,Curacaví,Rural,1,2021-03-20,2021-03-25,98,104,6,6.1224489795918435,1
13,Metropolitana,13503,Curacaví,Urbana,1,2021-03-20,2021-03-25,98,104,6,6.1224489795918435,1
13,Metropolitana,13105,El Bosque,Total,1,2021-03-18,2021-03-25,276,361,85,30.797101449275367,1
13,Metropolitana,13603,Isla de Maipo,Total,1,2021-03-18,2021-03-25,109,113,4,3.669724770642202,1
13,Metropolitana,13109,La Cisterna,Total,1,2021-03-20,2021-03-25,191,210,19,9.947643979057585,1
13,Metropolitana,13110,La Florida,Total,1,2021-03-18,2021-03-25,864,1011,147,17.013888888888886,1
13,Metropolitana,13117,Lo Prado,Total,1,2021-03-18,2021-03-25,263,259,-4,-1.520912547528519,1
13,Metropolitana,13504,Maria Pinto,Total,1,2021-03-20,2021-03-25,48,56,8,16.666666666666675,1
