region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
9,Araucanía,9201,Angol,Total,1,2021-03-13,2021-03-25,163,118,-45,-27.60736196319018,1
9,Araucanía,9102,Carahue,Total,1,2021-03-04,2021-03-25,49,64,15,30.612244897959172,1
9,Araucanía,9121,Cholchol,Total,1,2021-03-11,2021-03-25,28,22,-6,-21.42857142857143,1
9,Araucanía,9202,Collipulli,Total,1,2021-02-11,2021-03-25,89,117,28,31.46067415730338,1
9,Araucanía,9103,Cunco,Total,1,2021-02-25,2021-03-25,47,59,12,25.531914893617014,1
9,Araucanía,9203,Curacautín,Total,1,2021-03-20,2021-03-25,53,32,-21,-39.62264150943396,1
9,Araucanía,9104,Curarrehue,Total,1,2021-03-20,2021-03-25,53,39,-14,-26.415094339622648,1
9,Araucanía,9204,Ercilla,Total,1,2021-03-04,2021-03-25,45,48,3,6.666666666666665,1
9,Araucanía,9105,Freire,Total,1,2021-03-06,2021-03-25,92,121,29,31.52173913043479,1
9,Araucanía,9106,Galvarino,Total,1,2021-03-18,2021-03-25,52,52,0,0.0,1
9,Araucanía,9107,Gorbea,Total,2,2021-03-20,2021-03-25,16,31,15,93.75,1
9,Araucanía,9108,Lautaro,Total,1,2021-03-20,2021-03-25,94,65,-29,-30.85106382978723,1
9,Araucanía,9109,Loncoche,Total,1,2021-02-11,2021-03-25,64,75,11,17.1875,1
9,Araucanía,9205,Lonquimay,Total,1,2021-03-18,2021-03-25,51,40,-11,-21.568627450980394,1
9,Araucanía,9206,Los Sauces,Total,1,2021-03-11,2021-03-25,49,26,-23,-46.93877551020408,1
9,Araucanía,9207,Lumaco,Total,1,2021-02-20,2021-03-25,15,60,45,300.0,1
9,Araucanía,9207,Lumaco,Capitán Pastene,1,2021-03-13,2021-03-25,33,60,27,81.81818181818181,1
9,Araucanía,9110,Melipeuco,Total,2,2021-03-18,2021-03-25,16,12,-4,-25.0,1
9,Araucanía,9111,Nueva Imperial,Total,2,2021-03-18,2021-03-25,87,67,-20,-22.988505747126442,1
9,Araucanía,9112,Padre Las Casas,Total,1,2021-01-30,2021-03-25,157,326,169,107.64331210191082,1
9,Araucanía,9113,Perquenco,Total,1,2021-03-13,2021-03-25,35,25,-10,-28.57142857142857,1
9,Araucanía,9114,Pitrufquén,Total,1,2021-03-11,2021-03-25,115,81,-34,-29.565217391304344,1
9,Araucanía,9115,Pucón,Total,2,2021-03-20,2021-03-25,54,48,-6,-11.111111111111116,1
9,Araucanía,9208,Purén,Total,2,2021-03-18,2021-03-25,19,15,-4,-21.052631578947366,1
9,Araucanía,9209,Renaico,Total,1,2021-03-06,2021-03-25,54,39,-15,-27.77777777777778,1
9,Araucanía,9116,Saavedra,Rural,1,2021-02-06,2021-03-25,38,43,5,13.157894736842103,1
9,Araucanía,9116,Saavedra,Urbana,1,2021-03-04,2021-03-25,51,43,-8,-15.686274509803921,1
9,Araucanía,9101,Temuco,Total,1,2021-03-06,2021-03-25,919,1182,263,28.618063112078353,1
9,Araucanía,9117,Teodoro Schmidt,Total,2,2021-03-06,2021-03-25,39,15,-24,-61.53846153846154,1
9,Araucanía,9118,Toltén,Rural,1,2021-02-06,2021-03-25,10,21,11,110.00000000000001,1
9,Araucanía,9118,Toltén,Urbana,1,2021-03-04,2021-03-25,55,21,-34,-61.81818181818181,1
9,Araucanía,9210,Traiguén,Total,1,2021-01-23,2021-03-25,52,63,11,21.153846153846146,1
9,Araucanía,9211,Victoria,Total,2,2021-03-04,2021-03-25,80,71,-9,-11.250000000000004,1
9,Araucanía,9119,Vilcún,Total,1,2021-02-27,2021-03-25,79,117,38,48.1012658227848,1
9,Araucanía,9120,Villarrica,Total,1,2021-03-11,2021-03-25,178,156,-22,-12.35955056179775,1
14,Los Ríos,14102,Corral,Total,1,2021-03-11,2021-03-25,18,42,24,133.33333333333334,1
14,Los Ríos,14202,Futrono,Total,1,2021-02-18,2021-03-25,57,78,21,36.8421052631579,1
14,Los Ríos,14201,La Unión,Total,1,2021-03-06,2021-03-25,191,267,76,39.79057591623037,1
14,Los Ríos,14203,Lago Ranco,Total,1,2021-03-11,2021-03-25,40,19,-21,-52.5,1
14,Los Ríos,14103,Lanco,Total,1,2021-03-04,2021-03-25,69,127,58,84.05797101449275,1
14,Los Ríos,14104,Los Lagos,Total,1,2021-01-14,2021-03-25,83,97,14,16.867469879518083,1
14,Los Ríos,14105,Máfil,Total,1,2021-03-04,2021-03-25,41,53,12,29.268292682926834,1
14,Los Ríos,14106,Mariquina,Total,1,2021-02-18,2021-03-25,75,134,59,78.66666666666666,1
14,Los Ríos,14107,Paillaco,Total,1,2021-03-11,2021-03-25,101,107,6,5.940594059405946,1
14,Los Ríos,14108,Panguipulli,Rural,1,2021-03-04,2021-03-25,131,193,62,47.32824427480915,1
14,Los Ríos,14108,Panguipulli,Urbana,1,2021-03-04,2021-03-25,131,193,62,47.32824427480915,1
14,Los Ríos,14204,Río Bueno,Total,1,2021-03-11,2021-03-25,91,148,57,62.637362637362635,1
14,Los Ríos,14101,Valdivia,Total,1,2021-03-04,2021-03-25,687,958,271,39.446870451237274,1
