region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15102,Camarones,Total,4,2021-06-14,2021-06-24,1,1,0,0.0,1
15,Arica y Parinacota,15202,General Lagos,Total,4,2021-06-14,2021-06-24,0,0,0,-100.0,1
1,Tarapacá,1403,Colchane,Total,4,2021-05-17,2021-06-24,0,0,0,-100.0,1
2,Antofagasta,2202,Ollagüe,Total,4,2021-05-10,2021-06-24,0,0,0,-100.0,1
5,Valparaíso,5201,Isla de Pascua,Total,4,2021-03-04,2021-06-24,0,0,0,-100.0,1
5,Valparaíso,5104,Juan Fernández,Total,4,2020-08-24,2021-06-24,0,0,0,-100.0,1
10,Los Lagos,10402,Futaleufú,Total,4,2021-05-06,2021-06-24,0,1,1,0.0,1
10,Los Lagos,10404,Palena,Total,4,2021-05-06,2021-06-24,0,0,0,-100.0,1
11,Aysén,11203,Guaitecas,Total,4,2021-05-20,2021-06-24,0,1,1,0.0,1
11,Aysén,11302,O'Higgins,Total,4,2020-07-28,2021-06-24,0,0,0,-100.0,1
12,Magallanes,12201,Cabo de Hornos,Resto,4,2021-05-20,2021-06-24,1,0,-1,-100.0,1
12,Magallanes,12201,Cabo de Hornos,Puerto Williams,4,2021-05-20,2021-06-24,1,0,-1,-100.0,1
12,Magallanes,12102,Laguna Blanca,Total,4,2021-06-10,2021-06-24,0,0,0,-100.0,1
12,Magallanes,12302,Primavera,Total,4,2021-03-04,2021-06-24,2,0,-2,-100.0,1
12,Magallanes,12103,Río Verde,Total,4,2021-03-04,2021-06-24,0,0,0,-100.0,1
12,Magallanes,12104,San Gregorio,Total,4,2021-02-25,2021-06-24,0,1,1,0.0,1
12,Magallanes,12303,Timaukel,Total,4,2021-03-08,2021-06-24,0,0,0,-100.0,1
12,Magallanes,12402,Torres del Paine,Total,4,2021-02-25,2021-06-24,0,0,0,-100.0,1
