region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
7,Maule,7102,Constitución,Total,2,2021-05-31,2021-06-24,143,135,-8,-5.594405594405593,1
7,Maule,7301,Curicó,Rural,2,2021-05-27,2021-06-24,639,402,-237,-37.08920187793427,1
7,Maule,7301,Curicó,Urbana,2,2021-05-27,2021-06-24,639,402,-237,-37.08920187793427,1
7,Maule,7303,Licantén,Rural,2,2021-06-14,2021-06-24,10,7,-3,-30.000000000000004,1
7,Maule,7303,Licantén,Urbana,2,2021-06-14,2021-06-24,10,7,-3,-30.000000000000004,1
7,Maule,7401,Linares,Total,2,2021-05-17,2021-06-24,270,307,37,13.703703703703706,1
7,Maule,7304,Molina,Total,2,2021-05-24,2021-06-24,115,112,-3,-2.608695652173909,1
7,Maule,7203,Pelluhue,Total,2,2021-06-05,2021-06-24,37,44,7,18.918918918918926,1
7,Maule,7305,Rauco,Total,2,2021-06-17,2021-06-24,18,22,4,22.222222222222232,1
7,Maule,7108,Río Claro,Total,2,2021-06-17,2021-06-24,35,19,-16,-45.714285714285715,1
7,Maule,7306,Romeral,Total,2,2021-06-17,2021-06-24,48,60,12,25.0,1
7,Maule,7307,Sagrada Familia,Total,2,2021-06-17,2021-06-24,42,48,6,14.28571428571428,1
7,Maule,7406,San Javier,Total,2,2021-05-24,2021-06-24,157,120,-37,-23.566878980891715,1
7,Maule,7308,Teno,Total,2,2021-05-31,2021-06-24,94,122,28,29.78723404255319,1
7,Maule,7309,Vichuquén,Total,2,2021-06-10,2021-06-24,19,7,-12,-63.1578947368421,1
16,Ñuble,16102,Bulnes,Total,2,2021-04-01,2021-06-24,46,39,-7,-15.217391304347828,1
16,Ñuble,16101,Chillán,Rural,2,2021-05-06,2021-06-24,388,369,-19,-4.89690721649485,1
16,Ñuble,16101,Chillán,Urbana,2,2021-05-06,2021-06-24,388,369,-19,-4.89690721649485,1
16,Ñuble,16103,Chillán Viejo,Rural,2,2021-05-06,2021-06-24,72,54,-18,-25.0,1
16,Ñuble,16103,Chillán Viejo,Urbana,2,2021-05-06,2021-06-24,72,54,-18,-25.0,1
16,Ñuble,16303,Ñiquén,Total,2,2021-06-17,2021-06-24,29,18,-11,-37.93103448275862,1
16,Ñuble,16105,Pemuco,Total,2,2021-06-14,2021-06-24,25,30,5,19.999999999999996,1
16,Ñuble,16106,Pinto,Total,2,2021-04-26,2021-06-24,10,22,12,120.00000000000001,1
16,Ñuble,16205,Portezuelo,Total,2,2021-06-10,2021-06-24,19,20,1,5.263157894736836,1
16,Ñuble,16107,Quillón,Total,2,2021-06-12,2021-06-24,64,49,-15,-23.4375,1
16,Ñuble,16206,Ránquil,Total,2,2021-06-03,2021-06-24,46,20,-26,-56.52173913043479,1
16,Ñuble,16301,San Carlos,Total,2,2021-05-31,2021-06-24,190,258,68,35.78947368421053,1
16,Ñuble,16304,San Fabián,Total,2,2021-06-19,2021-06-24,19,19,0,0.0,1
16,Ñuble,16305,San Nicolás,Total,2,2021-06-17,2021-06-24,31,21,-10,-32.25806451612904,1
16,Ñuble,16109,Yungay,Total,2,2021-05-10,2021-06-24,43,36,-7,-16.279069767441857,1
8,Biobío,8202,Arauco,Total,2,2021-05-13,2021-06-24,58,87,29,50.0,1
8,Biobío,8303,Cabrero,Rural,2,2021-05-17,2021-06-24,88,72,-16,-18.181818181818176,1
8,Biobío,8303,Cabrero,Urbana,2,2021-05-17,2021-06-24,88,72,-16,-18.181818181818176,1
8,Biobío,8103,Chiguayante,Total,2,2021-05-06,2021-06-24,140,235,95,67.85714285714286,1
8,Biobío,8101,Concepción,Total,2,2021-05-10,2021-06-24,377,510,133,35.27851458885942,1
8,Biobío,8102,Coronel,Total,2,2021-05-13,2021-06-24,273,227,-46,-16.849816849816847,1
8,Biobío,8205,Curanilahue,Total,2,2021-02-22,2021-06-24,118,95,-23,-19.491525423728817,1
8,Biobío,8104,Florida,Total,2,2021-06-10,2021-06-24,29,23,-6,-20.68965517241379,1
8,Biobío,8112,Hualpén,Total,2,2021-05-10,2021-06-24,163,231,68,41.717791411042946,1
8,Biobío,8105,Hualqui,Total,2,2021-05-06,2021-06-24,56,53,-3,-5.35714285714286,1
8,Biobío,8304,Laja,Total,2,2021-05-31,2021-06-24,69,96,27,39.13043478260869,1
8,Biobío,8106,Lota,Total,2,2021-05-13,2021-06-24,111,112,1,0.9009009009008917,1
8,Biobío,8305,Mulchén,Total,2,2021-06-14,2021-06-24,85,84,-1,-1.17647058823529,1
8,Biobío,8306,Nacimiento,Total,2,2021-06-21,2021-06-24,100,100,0,0.0,1
8,Biobío,8307,Negrete,Total,2,2021-06-10,2021-06-24,39,26,-13,-33.333333333333336,1
8,Biobío,8107,Penco,Total,2,2021-06-21,2021-06-24,84,84,0,0.0,1
8,Biobío,8308,Quilaco,Total,2,2021-06-07,2021-06-24,26,7,-19,-73.07692307692308,1
8,Biobío,8309,Quilleco,Total,2,2021-06-14,2021-06-24,23,16,-7,-30.434782608695656,1
8,Biobío,8108,San Pedro de la Paz,Total,2,2021-05-10,2021-06-24,219,320,101,46.11872146118721,1
8,Biobío,8109,Santa Juana,Total,2,2021-06-17,2021-06-24,52,58,6,11.538461538461542,1
8,Biobío,8110,Talcahuano,Total,2,2021-05-10,2021-06-24,229,330,101,44.104803493449786,1
8,Biobío,8111,Tomé,Total,2,2021-04-29,2021-06-24,94,117,23,24.468085106382986,1
8,Biobío,8312,Tucapel,Total,2,2021-06-12,2021-06-24,23,22,-1,-4.347826086956519,1
9,Araucanía,9201,Angol,Total,2,2021-06-10,2021-06-24,169,71,-98,-57.98816568047338,1
9,Araucanía,9102,Carahue,Total,2,2021-05-27,2021-06-24,42,61,19,45.238095238095234,1
9,Araucanía,9121,Cholchol,Total,2,2021-05-17,2021-06-24,17,24,7,41.176470588235304,1
9,Araucanía,9103,Cunco,Total,2,2021-05-29,2021-06-24,45,53,8,17.777777777777782,1
9,Araucanía,9203,Curacautín,Total,2,2021-05-20,2021-06-24,37,55,18,48.64864864864864,1
9,Araucanía,9104,Curarrehue,Total,2,2021-05-31,2021-06-24,52,43,-9,-17.307692307692314,1
9,Araucanía,9204,Ercilla,Total,2,2021-06-03,2021-06-24,45,28,-17,-37.77777777777778,1
9,Araucanía,9106,Galvarino,Total,2,2021-06-17,2021-06-24,76,63,-13,-17.105263157894733,1
9,Araucanía,9108,Lautaro,Total,2,2021-06-07,2021-06-24,96,95,-1,-1.041666666666663,1
9,Araucanía,9109,Loncoche,Total,2,2021-05-06,2021-06-24,39,56,17,43.58974358974359,1
9,Araucanía,9207,Lumaco,Resto,2,2021-05-20,2021-06-24,3,17,14,466.6666666666667,1
9,Araucanía,9207,Lumaco,Capitán Pastene,2,2021-05-20,2021-06-24,3,17,14,466.6666666666667,1
9,Araucanía,9110,Melipeuco,Total,2,2021-06-10,2021-06-24,18,15,-3,-16.666666666666664,1
9,Araucanía,9111,Nueva Imperial,Total,2,2021-06-17,2021-06-24,44,41,-3,-6.818181818181824,1
9,Araucanía,9112,Padre Las Casas,Total,2,2021-05-13,2021-06-24,271,178,-93,-34.31734317343174,1
9,Araucanía,9113,Perquenco,Total,2,2021-05-31,2021-06-24,24,9,-15,-62.5,1
9,Araucanía,9114,Pitrufquén,Total,2,2021-05-20,2021-06-24,43,86,43,100.0,1
9,Araucanía,9208,Purén,Total,2,2021-06-10,2021-06-24,23,8,-15,-65.21739130434783,1
9,Araucanía,9209,Renaico,Total,2,2021-06-03,2021-06-24,81,16,-65,-80.24691358024691,1
9,Araucanía,9101,Temuco,Total,2,2021-05-13,2021-06-24,700,504,-196,-28.000000000000004,1
9,Araucanía,9117,Teodoro Schmidt,Total,2,2021-06-05,2021-06-24,34,51,17,50.0,1
9,Araucanía,9210,Traiguén,Total,2,2021-06-14,2021-06-24,33,43,10,30.303030303030297,1
9,Araucanía,9211,Victoria,Total,2,2021-06-07,2021-06-24,58,69,11,18.965517241379317,1
9,Araucanía,9119,Vilcún,Total,2,2021-05-27,2021-06-24,83,82,-1,-1.2048192771084376,1
